ID,PAGE/COMPONENT,ELEMENT TYPE,VISIBLE LABEL,DESTINATION,STATUS,SEVERITY,NOTES
LNK-1,"src/app/(auth)/login/page.tsx","Link","Forgot Password?","/forgot-password","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-2,"src/app/(auth)/login/page.tsx","Link","Customer / Engineer","/signup?role=customer","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-3,"src/app/(auth)/login/page.tsx","Link","Seller Merchant","/signup?role=seller","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-4,"src/app/(auth)/signup/page.tsx","Link","Terms of Service","/terms","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-5,"src/app/(auth)/signup/page.tsx","Link","Privacy Policy","/privacy","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-6,"src/app/(auth)/signup/page.tsx","Link","Sign In here","/login","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-7,"src/app/(storefront)/bom/page.tsx","Link","Generate Procurement Plan →","/rfq","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-8,"src/app/(storefront)/bom/page.tsx","Link","{match.canonicalMatch}","`/products/${match.matchId","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-9,"src/app/(storefront)/bom/page.tsx","Link","Generate Procurement Plan →","/rfq","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-10,"src/app/(storefront)/cart/page.tsx","Link","Request Quote","/quote-request","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-11,"src/app/(storefront)/categories/[category]/page.tsx","Link","Home","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-12,"src/app/(storefront)/categories/[category]/page.tsx","Link","Categories","/categories","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-13,"src/app/(storefront)/categories/[category]/page.tsx","Link","{sub}","`/products?category=${sub.toLowerCase()","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-14,"src/app/(storefront)/categories/[category]/page.tsx","Link","{prod.mfg}                 {prod.mpn}             ","`/products/${prod.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-15,"src/app/(storefront)/categories/[category]/page.tsx","Link","Open Propulsion Calculator","/engineering/calculator","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-16,"src/app/(storefront)/categories/page.tsx","Link","{cat.id}               {cat.count.toLocaleString()","cat.link","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-17,"src/app/(storefront)/checkout/success/page.tsx","Link","Track Order FSM","/account/orders/RUD-2026-88941","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-18,"src/app/(storefront)/checkout/success/page.tsx","Link","Continue Shopping","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-19,"src/app/(storefront)/compare/page.tsx","Link","{c.mpn}","`/products/${c.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-20,"src/app/(storefront)/compare/page.tsx","Link","Request Quote for Selected","`/rfq?mpn=${selected.map((c) => c.mpn).join(","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-21,"src/app/(storefront)/compatibility/page.tsx","Link","Save to BOM","/bom","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-22,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","← Back to Architectures","/engineering/architectures","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-23,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","Home","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-24,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","Engineering","/engineering","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-25,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","Architectures","/engineering/architectures","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-26,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","Request Quote for Full BOM →","`/rfq?arch=${arch.slug","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-27,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","View","`/products/${row.productId","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-28,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","Request Quote for Full BOM →","`/rfq?arch=${arch.slug","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-29,"src/app/(storefront)/engineering/architectures/[slug]/page.tsx","Link","Open Compatibility Engine →","/compatibility","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-30,"src/app/(storefront)/engineering/architectures/page.tsx","Link","Home","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-31,"src/app/(storefront)/engineering/architectures/page.tsx","Link","Engineering","/engineering","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-32,"src/app/(storefront)/engineering/architectures/page.tsx","Link","{arch.config}                                     ","`/engineering/architectures/${arch.slug","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-33,"src/app/(storefront)/manufacturers/[id]/page.tsx","Link","Home","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-34,"src/app/(storefront)/manufacturers/[id]/page.tsx","Link","Manufacturers","/manufacturers","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-35,"src/app/(storefront)/manufacturers/[id]/page.tsx","Link","{p.category}                                      ","`/products/${p.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-36,"src/app/(storefront)/manufacturers/page.tsx","Link","{mfg.id}                                {mfg.tier}","mfg.link","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-37,"src/app/(storefront)/page.tsx","Link","MN4014","/products?q=MN4014","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-38,"src/app/(storefront)/page.tsx","Link","Pixhawk 6X","/products?q=Pixhawk+6X","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-39,"src/app/(storefront)/page.tsx","Link","45A ESC","/products?q=45A+ESC","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-40,"src/app/(storefront)/page.tsx","Link","M10 GNSS","/products?q=M10+GNSS","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-41,"src/app/(storefront)/page.tsx","Link","View all categories","/categories","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-42,"src/app/(storefront)/page.tsx","Link","{cat.id}                 Explore &rarr;           ","`/categories/${cat.name.toLowerCase().replace(/ & /g, ","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-43,"src/app/(storefront)/page.tsx","Link","Explore catalog","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
